area,apartment,type,squares,price,squareprice,year,floor,elevator,condition,energy
Ullanlinna,"3h, k, kph, vh,...",kt,70.00,632000,9029,1961,7/8,on,hyvä,F2014
Lauttasaari,"3h, k, p",kt,71.50,333000,4657,1977,6/6,on,huono,E2007
Myllypuro,3h+k+kph+wc+par...,kt,75.00,207500,2767,1987,2/2,ei,hyvä,E
Maunula,"3 h, k, kph, er...",kt,76.80,210000,2734,1971,4/4,on,tyyd.,E2007
Viikki,3H+K+S,kt,77.00,299000,3883,2004,4/6,on,hyvä,E
Kruununhaka,"3h, k, kph, wc",kt,78.40,590500,7532,1913,4/4,on,tyyd.,
Taka-töölö,"3h, avokeittiö...",kt,79.50,494500,6220,1938,1/6,on,hyvä,E2007
Punavuori,"3h,k,rt,kph,s,p...",kt,80.00,844000,10550,2018,6/6,on,hyvä,D2013
Eiranranta,"3h, k, rt, kph,...",kt,81.50,815000,10000,2008,1/7,on,hyvä,F2014
Katajanokka,3h+kt+s,kt,88.00,760750,8645,2018,2/7,on,hyvä,
Punavuori,"3h, avok, kph, ...",kt,78.50,487500,6210,1971,4/6,ei,hyvä,
Punavuori,"3h,k,s, parveke",kt,121.00,815000,6736,1891,3/4,ei,hyvä,
Meilahti,"3h, k, kph",kt,67.50,428000,6341,1946,2/6,on,hyvä,E2015
Hakaniemi,3h+k+kph,kt,70.00,470500,6721,1928,5/7,on,hyvä,
Lauttasaari,3h + k,kt,74.00,467663,6320,1965,1/3,ei,hyvä,F
Kulosaari,"3h, k,kph,vaate...",kt,75.50,390000,5166,1961,1/4,on,hyvä,
Vuosaari,"3h, k, kph, las...",kt,77.50,235000,3032,1965,2/4,on,hyvä,
Maunula,"3 h, avok., kph...",kt,78.50,390000,4968,2013,3/3,on,hyvä,B2007
Viikinmäki,"3h, k, s",kt,79.50,311000,3912,2014,1/3,ei,hyvä,
Kruununhaka,"3h, halli, k, k...",kt,113.00,852500,7544,1926,3/7,on,hyvä,C2007
Punavuori,"3h, avok, kph, vh",kt,63.00,453000,7190,1959,2/5,on,hyvä,F2015
Roihuvuori,"3h, k, kph, par...",kt,68.00,206000,3029,1965,3/8,on,hyvä,E
Pihlajisto,"3h, k, kph, vh,...",kt,70.00,145000,2071,1978,4/4,ei,hyvä,
Lauttasaari,"3h, k, s, p",kt,74.00,540200,7300,2017,2/6,on,hyvä,C
Kamppi,3h+k+kph+halli,kt,80.00,505000,6313,1924,1/5,on,hyvä,D2007
Etu-töölö,"3h, k",kt,81.50,496000,6086,1925,4/6,ei,tyyd.,
Ruskeasuo,"4r,k, inglasad ...",kt,102.00,510000,5000,2006,1/8,ei,hyvä,
Jätkäsaari,"3 h, k, kh-s, k...",kt,106.00,770000,7264,1995,6/6,on,hyvä,D2007
Malminkartano,"3h, kk, ruokail...",kt,61.50,215000,3496,2008,2/4,on,hyvä,
Niemenmäki,"3h, k, kph + la...",kt,63.00,252000,4000,1962,3/8,on,hyvä,E2007
Yliskylä,"3h, k, kph, las...",kt,67.50,212000,3141,1975,2/3,ei,hyvä,F
Aurinkolahti,3h+k+kph/s+las....,kt,70.50,344000,4879,2011,5/6,ei,hyvä,
Puotila,3h+k+kh+parv.,kt,74.00,170000,2297,1960,2/3,ei,tyyd.,
Puistola,"3h, k",kt,74.50,161000,2161,1974,2/2,ei,hyvä,E
Hermanni,3h+k+sauna/kph+...,kt,84.00,485000,5774,2009,3/4,on,hyvä,C2013
Taka-töölö,"3h, k, kph, eri...",kt,60.00,429150,7153,1936,5/6,on,hyvä,G
Hietalahti,"3h, k",kt,69.00,461000,6681,1926,4/5,on,hyvä,
Koskela,3h+k+kph+wc+vh+...,kt,74.50,185000,2483,1972,2/5,ei,hyvä,F2013
Puotinharju,3h+k+kph+parveke,kt,67.50,137000,2030,1962,6/7,on,tyyd.,E2007
Malminkartano,"3h, k, erill.wc...",kt,73.00,182000,2493,1989,1/3,ei,tyyd.,
Myllypuro,"3h, k, vh, kph,...",kt,65.00,149000,2292,1965,3/4,ei,hyvä,
Maunula,"3h,k",kt,73.50,249000,3388,1962,2/4,ei,tyyd.,
Ullanlinna,"3h,k,parveke",kt,74.50,490000,6577,1973,3/5,ei,tyyd.,
Ullanlinna,"3h, k, kph, vh,...",kt,75.30,595000,7902,1961,5/7,on,hyvä,F2014
Lauttasaari,"3h, vh, k, kph, p",kt,63.50,381320,6005,1962,2/4,on,tyyd.,F
Vuosaari,3h+k+parveke,kt,68.70,208000,3028,1964,2/5,on,hyvä,
Lauttasaari,3h+k,kt,67.00,359983,5373,1951, ,ei, ,F
Pitäjänmäki,"3h, k, kph, las...",kt,74.00,340000,4595,2001,4/5,on,hyvä,E2014
Herttoniemi,3h+kt+s,kt,74.00,364600,4927,2019,6/7,on,hyvä,C
Munkkivuori,"3h, k, kh, par...",kt,76.00,335000,4408,1956,8/8,on,tyyd.,E2007
Etelä-haaga,"3h, k, kph, vh,...",kt,66.00,339000,5136,1958,2/4,ei,tyyd.,
Herttoniemi,3h+kt,kt,73.00,366510,5021,2019,7/7,on,hyvä,C
Lauttasaari,3h+k+s,kt,92.50,548000,5924,2002,6/8,on,hyvä,
Munkkiniemi,"3h, k, p",kt,77.00,478000,6208,1954,3/5,on,hyvä,
Lauttasaari,"3-4 h, k, 2p",kt,94.50,415000,4392,1973,6/6,on,tyyd.,
Ullanlinna,"3h, avok, kph, wc",kt,74.00,592200,8003,1907,4/4,ei,hyvä,F2013
Puistola,3h+k,kt,75.00,140000,1867,1975,2/2,ei, ,E
Pasila,3h+kt,kt,53.00,242327,4572,2019,2/8,on,hyvä,C
Vesala,3h+k,kt,68.00,145000,2132,1986,2/3,ei,tyyd.,
Kannelmäki,"3h, k, vh, p",kt,76.00,184000,2421,1983,4/6,on,tyyd.,D2007
Oulunkylä,3h+kk,kt,54.00,250000,4630,1956,1/4,ei,hyvä,F
Itäkeskus,"3h, k, kph, iso...",kt,65.00,203000,3123,1979,3/4,ei,hyvä,
Länsi-pasila,3h+k+s,kt,80.00,410000,5125,2008,5/7,on,hyvä,C2007
Hakaniemi,"3h, avokeittiö...",kt,59.50,401000,6739,1985,5/8,on,hyvä,E2013
Pihlajisto,"3h, k, kh, wc, p",kt,72.50,160000,2207,1975,2/7,on,tyyd.,D2007
Kannelmäki,"3h, k, p",kt,74.50,210000,2819,1978,3/4,on,hyvä,D2007
Aurinkolahti,"3 h, k, s, eril...",kt,88.00,430000,4886,2013,5/6,on,hyvä,A2007
Pihlajamäki,3-4h+k,kt,67.50,183000,2711,1962,1/4,ei,hyvä,E2007
Munkkiniemi,"2-3h, rt, avok,...",kt,69.50,400000,5755,1957,3/3,on,hyvä,F
Herttoniemi,3h+kt,kt,57.00,309520,5430,2019,5/7,on,hyvä,C
Kruununhaka,3-4h+avok+kph/w...,kt,97.00,545000,5619,1911,2/2,ei,tyyd.,F2013
Pasila,3h+kt,kt,53.00,265770,5015,2019,3/8,on,hyvä,C
Alppila,"3h, k, kph, p",kt,63.50,293000,4614,1961,2/4,on,tyyd.,F2013
